contestId,index,name,tags,rating,solvedCount,vector
1840,G2,In Search of Truth (Hard Version),constructive algorithms interactive math probabilities,,138,constructive algorithms interactive math probabilities nan
1840,G1,In Search of Truth (Easy Version),brute force constructive algorithms interactive math probabilities,,572,brute force constructive algorithms interactive math probabilities nan
1840,F,Railguns,dfs and similar dp graphs implementation,,302,dfs and similar dp graphs implementation nan
1840,E,Character Blocking,data structures implementation,,2680,data structures implementation nan
1840,D,Wooden Toy Festival,binary search greedy sortings,,5257,binary search greedy sortings nan
1840,C,Ski Resort,combinatorics math two pointers,,12340,combinatorics math two pointers nan
1840,B,Binary Cafe,bitmasks combinatorics math,,11526,bitmasks combinatorics math nan
1840,A,Cipher Shifer,implementation strings two pointers,,18844,implementation strings two pointers nan
1839,E,Decreasing Game,constructive algorithms dp greedy interactive,,537,constructive algorithms dp greedy interactive nan
1839,D,Ball Sorting,data structures dp sortings,,1046,data structures dp sortings nan
1839,C,Insert Zero and Invert Prefix,constructive algorithms,,6948,constructive algorithms nan
1839,B,Lamps,greedy sortings,,9656,greedy sortings nan
1839,A,The Good Array,greedy implementation math,,12723,greedy implementation math nan
1838,F,Stuck Conveyor,binary search constructive algorithms interactive,,96,binary search constructive algorithms interactive nan
1838,E,Count Supersequences,combinatorics dp math,,546,combinatorics dp math nan
1838,D,Bracket Walk,data structures greedy strings,,1553,data structures greedy strings nan
1838,C,No Prime Differences,constructive algorithms math number theory,,7884,constructive algorithms math number theory nan
1838,B,Minimize Permutation Subarrays,constructive algorithms math,,10912,constructive algorithms math nan
1838,A,Blackboard List,constructive algorithms math,,15073,constructive algorithms math nan
1837,F,Editorial for Two,binary search data structures greedy implementation,,1325,binary search data structures greedy implementation nan
1837,E,Playoff Fixing,combinatorics trees,,1457,combinatorics trees nan
1837,D,Bracket Coloring,constructive algorithms greedy,,9038,constructive algorithms greedy nan
1837,C,Best Binary String,constructive algorithms greedy,,15853,constructive algorithms greedy nan
1837,B,Comparison String,greedy,,18172,greedy nan
1837,A,Grasshopper on a Line,constructive algorithms math,,21365,constructive algorithms math nan
1833,G,Ksyusha and Chinchilla,constructive algorithms dfs and similar dp dsu greedy implementation trees,1800.0,2956,constructive algorithms dfs and similar dp dsu greedy implementation trees 1800.0
1833,F,Ira and Flamenco,combinatorics constructive algorithms data structures implementation math sortings two pointers,1700.0,4296,combinatorics constructive algorithms data structures implementation math sortings two pointers 1700.0
1833,E,Round Dance,dfs and similar dsu graphs shortest paths,1600.0,6420,dfs and similar dsu graphs shortest paths 1600.0
1833,D,Flipper,brute force constructive algorithms greedy,1400.0,9301,brute force constructive algorithms greedy 1400.0
1833,C,Vlad Building Beautiful Array,greedy math,800.0,20587,greedy math 800.0
1833,B,Restore the Weather,greedy sortings,900.0,19235,greedy sortings 900.0
1833,A,Musical Puzzle,implementation strings,800.0,25186,implementation strings 800.0
1832,F,Zombies,binary search dp,3200.0,168,binary search dp 3200.0
1832,E,Combinatorics Problem,brute force combinatorics dp,2200.0,1507,brute force combinatorics dp 2200.0
1832,D2,Red-Blue Operations (Hard Version),binary search constructive algorithms greedy implementation math,2400.0,1316,binary search constructive algorithms greedy implementation math 2400.0
1832,D1,Red-Blue Operations (Easy Version),binary search greedy implementation math,2100.0,2091,binary search greedy implementation math 2100.0
1832,C,Contrast Value,greedy implementation,1200.0,12295,greedy implementation 1200.0
1832,B,Maximum Sum,brute force sortings two pointers,1100.0,13892,brute force sortings two pointers 1100.0
1832,A,New Palindrome,strings,800.0,19749,strings 800.0
1831,B,Array merging,constructive algorithms greedy,1000.0,12923,constructive algorithms greedy 1000.0
1831,A,Twin Permutations,constructive algorithms,800.0,17750,constructive algorithms 800.0
1830,F,The Third Grace,data structures dp,3200.0,48,data structures dp 3200.0
1830,E,Bully Sort,data structures math,3500.0,85,data structures math 3500.0
1830,D,Mex Tree,brute force dp trees,2800.0,289,brute force dp trees 2800.0
1830,C,Hyperregular Bracket Strings,combinatorics greedy hashing math number theory sortings,2400.0,926,combinatorics greedy hashing math number theory sortings 2400.0
1830,B,The BOSS Can Count Pairs,brute force math,2000.0,2957,brute force math 2000.0
1830,A,Copil Copac Draws Trees,dfs and similar dp graphs trees,1400.0,8187,dfs and similar dp graphs trees 1400.0
1829,H,Don't Blame Me,bitmasks combinatorics dp math,1700.0,4116,bitmasks combinatorics dp math 1700.0
1829,G,Hits Different,data structures dp implementation math,1600.0,5697,data structures dp implementation math 1600.0
1829,F,Forever Winter,dfs and similar graphs math,1300.0,10405,dfs and similar graphs math 1300.0
1829,E,The Lakes,dfs and similar dsu graphs implementation,1100.0,12308,dfs and similar dsu graphs implementation 1100.0
1829,D,Gold Rush,brute force dfs and similar dp implementation,1000.0,16311,brute force dfs and similar dp implementation 1000.0
1829,C,Mr. Perfectly Fine,bitmasks greedy implementation,800.0,19812,bitmasks greedy implementation 800.0
1829,B,Blank Space,implementation,800.0,26366,implementation 800.0
1829,A,Love Story,implementation strings,800.0,28848,implementation strings 800.0
1828,B,Permutation Swap,math number theory,900.0,15086,math number theory 900.0
1828,A,Divisible Array,constructive algorithms math,800.0,18646,constructive algorithms math 800.0
1827,F,Copium Permutation,constructive algorithms data structures greedy,3500.0,65,constructive algorithms data structures greedy 3500.0
1827,E,Bus Routes,binary search constructive algorithms dfs and similar greedy trees,3400.0,176,binary search constructive algorithms dfs and similar greedy trees 3400.0
1827,D,Two Centroids,data structures dfs and similar greedy trees,2800.0,406,data structures dfs and similar greedy trees 2800.0
1827,C,Palindrome Partition,binary search brute force data structures dp hashing strings,2600.0,692,binary search brute force data structures dp hashing strings 2600.0
1827,B2,Range Sorting (Hard Version),binary search data structures dp greedy,2400.0,1175,binary search data structures dp greedy 2400.0
1827,B1,Range Sorting (Easy Version),binary search dp dsu greedy trees two pointers,2000.0,2644,binary search dp dsu greedy trees two pointers 2000.0
1827,A,Counting Orders,combinatorics math sortings two pointers,1100.0,13133,combinatorics math sortings two pointers 1100.0
1826,F,Fading into Fog,geometry interactive math probabilities,2800.0,238,geometry interactive math probabilities 2800.0
1826,E,Walk the Runway,bitmasks brute force data structures dp graphs implementation sortings,2400.0,1074,bitmasks brute force data structures dp graphs implementation sortings 2400.0
1826,D,Running Miles,brute force dp greedy,1700.0,4990,brute force dp greedy 1700.0
1826,C,Dreaming of Freedom,greedy math number theory,1300.0,8860,greedy math number theory 1300.0
1826,B,Lunatic Never Content,math number theory,1100.0,11223,math number theory 1100.0
1826,A,Trust Nobody,brute force greedy implementation sortings,1200.0,10530,brute force greedy implementation sortings 1200.0
1825,B,LuoTianyi and the Table,greedy math,1000.0,11370,greedy math 1000.0
1825,A,LuoTianyi and the Palindrome String,greedy strings,800.0,15655,greedy strings 800.0
1824,E,LuoTianyi and Cartridge,data structures trees,3500.0,84,data structures trees 3500.0
1824,D,LuoTianyi and the Function,data structures,3000.0,262,data structures 3000.0
1824,C,LuoTianyi and XOR-Tree,data structures dfs and similar dp dsu greedy trees,2500.0,822,data structures dfs and similar dp dsu greedy trees 2500.0
1824,B2,LuoTianyi and the Floating Islands (Hard Version),combinatorics dfs and similar math probabilities trees,2300.0,1878,combinatorics dfs and similar math probabilities trees 2300.0
1824,B1,LuoTianyi and the Floating Islands (Easy Version),combinatorics math probabilities trees,1800.0,3165,combinatorics math probabilities trees 1800.0
1824,A,LuoTianyi and the Show,greedy implementation,1400.0,8159,greedy implementation 1400.0
1823,F,Random Walk,dp graphs math probabilities trees,2600.0,470,dp graphs math probabilities trees 2600.0
1823,E,Removing Graph,brute force dp games graphs math,2500.0,919,brute force dp games graphs math 2500.0
1823,D,Unique Palindromes,constructive algorithms math strings,1900.0,2772,constructive algorithms math strings 1900.0
1823,C,Strongly Composite,greedy math number theory,1300.0,8730,greedy math number theory 1300.0
1823,B,Sort with Step,brute force math sortings,900.0,11981,brute force math sortings 900.0
1823,A,A-characteristic,combinatorics constructive algorithms math,800.0,13332,combinatorics constructive algorithms math 800.0
1822,G2,Magic Triples (Hard Version),brute force data structures math number theory,2200.0,1583,brute force data structures math number theory 2200.0
1822,G1,Magic Triples (Easy Version),brute force data structures math number theory,1700.0,4400,brute force data structures math number theory 1700.0
1822,F,Gardening Friends,brute force dfs and similar dp graphs trees,1700.0,3518,brute force dfs and similar dp graphs trees 1700.0
1822,E,Making Anti-Palindromes,greedy math strings,1600.0,6587,greedy math strings 1600.0
1822,D,Super-Permutation,constructive algorithms math,1200.0,11802,constructive algorithms math 1200.0
1822,C,Bun Lover,math,800.0,18066,math 800.0
1822,B,Karina and Array,greedy math sortings,800.0,19398,greedy math sortings 800.0
1822,A,TubeTube Feed,brute force implementation,800.0,19493,brute force implementation 800.0
1821,F,Timber,combinatorics dp fft math,2600.0,501,combinatorics dp fft math 2600.0
1821,E,Rearrange Brackets,brute force dp greedy sortings strings,2100.0,1593,brute force dp greedy sortings strings 2100.0
1821,D,Black Cells,binary search brute force greedy math,1900.0,3593,binary search brute force greedy math 1900.0
1821,C,Tear It Apart,brute force implementation math strings,1300.0,9984,brute force implementation math strings 1300.0
1821,B,Sort the Subarray,brute force greedy,1100.0,13006,brute force greedy 1100.0
1821,A,Matching,combinatorics math,800.0,16143,combinatorics math 800.0
1820,B,JoJo's Incredible Adventures,math strings two pointers,1100.0,10226,math strings two pointers 1100.0
1820,A,Yura's New Name,implementation strings,800.0,13715,implementation strings 800.0
1819,F,"Willy-nilly, Crack, Into Release!",data structures dp,3500.0,89,data structures dp 3500.0
1819,E,Roads in E City,interactive math probabilities trees,3200.0,165,interactive math probabilities trees 3200.0
1819,D,Misha and Apples,brute force data structures dp two pointers,2800.0,447,brute force data structures dp two pointers 2800.0
1819,C,The Fox and the Complete Tree Traversal,constructive algorithms dp implementation math trees,2400.0,1048,constructive algorithms dp implementation math trees 2400.0
1819,B,The Butcher,geometry greedy implementation sortings two pointers,1900.0,2612,geometry greedy implementation sortings two pointers 1900.0
1819,A,Constructive Problem,brute force greedy,1300.0,9201,brute force greedy 1300.0
1818,B,Indivisible,constructive algorithms,900.0,10617,constructive algorithms 900.0
1818,A,Politics,greedy implementation,800.0,10694,greedy implementation 800.0
1817,F,Entangled Substrings,string suffix structures strings,3500.0,92,string suffix structures strings 3500.0
